Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Pollution_Level
69,7554,189,3,0.3447730827961149,Good,2.2708380587490153,Moderate,-0.3927170060713926,Good,2.1987341892714483,Unhealthy,High
58,7608,49,0,-0.20107110354971808,Good,-0.3627896659989005,Good,-0.012054397071430436,Good,-0.3562306121252546,Good,Low
33,7698,203,5,1.9823056418336138,Good,5.972152698935275,Very Unhealthy,0.3686082119285317,Good,1.5052437431780574,Unhealthy,High
58,7751,35,0,-0.7469152898955511,Good,-0.11366271906328684,Good,-0.5830483105713736,Good,-0.6117270922649248,Good,Low
166,7753,90,2,-0.20107110354971808,Good,-0.3627896659989005,Good,-0.20238570157141153,Good,0.3920090797123512,Moderate,Low
69,7766,67,2,-0.20107110354971808,Good,-0.3272001021509557,Good,-0.3927170060713926,Good,-0.02773513765996423,Moderate,Low
58,7773,36,0,-0.7469152898955511,Good,-0.042483591367397225,Good,-0.3927170060713926,Good,-0.5934773436835199,Good,Low
54,7806,48,0,-0.20107110354971808,Good,-0.25602097445506605,Good,0.17827690742855065,Good,-0.37448036070665963,Good,Low
166,20493,41,0,-0.20107110354971808,Good,-0.25602097445506605,Good,1.320264734428437,Good,-0.5022286007764948,Good,Low
110,20497,19,0,-0.7469152898955511,Good,-0.5763270490865694,Good,-0.3927170060713926,Good,-0.9402225667302152,Good,Low
158,20512,73,2,-0.20107110354971808,Good,0.2778224832641061,Good,-0.5830483105713736,Good,0.08176335382846589,Moderate,Low
172,20514,45,0,-0.7469152898955511,Good,-0.6119166129345142,Good,-0.3927170060713926,Good,-0.42922960645087466,Good,Low
71,20515,170,3,-0.20107110354971808,Good,0.2778224832641061,Good,-0.5830483105713736,Good,1.8519889662247528,Unhealthy,High
75,20536,47,0,-0.20107110354971808,Good,0.4201807386558853,Good,-0.3927170060713926,Good,-0.5934773436835199,Good,Low
69,20567,155,3,0.8906172691419479,Good,1.6658154733339536,Moderate,-0.3927170060713926,Good,1.5782427375036776,Unhealthy,High
22,20622,46,0,-0.20107110354971808,Good,-0.9322226875660174,Good,-0.3927170060713926,Good,-0.41097985786946967,Good,Low
100,20634,172,3,1.9823056418336138,Good,-1.1813496345016312,Good,1.510596038928418,Good,1.888488463387563,Unhealthy,High
100,20643,64,2,-0.20107110354971808,Good,-0.7186853044783486,Good,-0.20238570157141153,Good,-0.0824843834041793,Moderate,Low
75,20648,44,0,-0.20107110354971808,Good,0.3134120471120509,Good,-0.3927170060713926,Good,-0.5569778465207098,Good,Low
172,20716,150,3,0.8906172691419479,Good,4.0859058149942005,Unhealthy,-0.3927170060713926,Good,0.6657553084334266,Unhealthy for Sensitive Groups,Low
33,20785,142,4,1.4364614554877808,Good,2.7690919526202427,Unhealthy for Sensitive Groups,1.129933429928456,Good,1.3409960059454122,Unhealthy for Sensitive Groups,Low
70,20797,21,0,-0.7469152898955511,Good,-0.7898644321742382,Good,-0.5830483105713736,Good,-0.8672235724045951,Good,Low
129,20836,47,0,-0.20107110354971808,Good,0.24223291941616126,Good,-0.5830483105713736,Good,-0.3927301092880646,Good,Low
158,20850,48,0,-0.20107110354971808,Good,0.4557703025038301,Good,-0.3927170060713926,Good,-0.721225583753355,Good,Low
122,20931,54,2,-0.20107110354971808,Good,-0.5407374852386245,Good,-0.5830483105713736,Good,-0.26498186921822947,Moderate,Low
77,20955,60,2,-0.20107110354971808,Good,0.3134120471120509,Good,-0.012054397071430436,Good,-0.15548337772979937,Moderate,Low
100,20969,166,3,1.4364614554877808,Good,-0.9678122514139622,Good,3.0332464749282666,Good,1.7789899718991329,Unhealthy,High
22,8772,27,0,-0.7469152898955511,Good,-0.43396879369479013,Good,-0.3927170060713926,Good,-0.7577250809161651,Good,Low
22,8781,23,0,-0.20107110354971808,Good,-1.003401815261907,Good,-0.3927170060713926,Good,-0.8307240752417852,Good,Low
22,8806,31,0,-0.20107110354971808,Good,-0.7898644321742382,Good,-0.5830483105713736,Good,-0.684726086590545,Good,Low
100,8839,88,2,0.8906172691419479,Good,-0.7898644321742382,Good,1.129933429928456,Good,0.3555095825495412,Moderate,Low
